SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
95-9008	UNIVERSAL RENAULT PEUGEOT CITROEN	ARACA ÖZEL	METAL TİP TELLİ  SİLGİ SÜPÜRGESİ TAKIM ( 26" 650mm ) RENAULT MASTER III PEUGEOT 307 807  BMC PROFESYONEL CITROEN XSARA PICASSO 2000		12228848	650MM	26"		
95-9010	UNIVERSAL MAZDA MITSUBISHI	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 22"+18" ) HYBRID MAZDA CX3 02.2015> MITSUBISHI L200 KA KB 2006 -- L200  KL KK  2015--   550mm + 450 mm		12425481 AÖ80	550MM+450MM	22"+18"		
95-9011	UNIVERSAL VOLVO FORD BMW	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+20" ) VOLVO C30 11,2006-12,2012 S40 II 04,2004 S60 II S80 II V50 V60 V70 XC60 XC70 FORD FOCUS FORD TURNIER 2018-- BMW X5 2018--  650mm + 500mm		12124460  95-800 AÖ45 95-9011	650MM+500MM	26"+20"		
95-9012	UNIVERSAL IVECO	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 25"+25" ) IVECO DAILY VI / LINE 2014--> 630mm + 630mm		12129495   AÖ50	630MM+630MM	25"+25"		
95-9013	UNIVERSAL JEEP	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 22"+20" ) JEEP RENEGADE 2014-->  550mm + 500mm		12134701	550MM+500MM	22"+20"		
95-9014	UNIVERSAL RENAULT HYUNDAI KIA	ARACA ÖZEL	HYBRID SİLGİ SÜPÜRGESİ TAKIMI ( 26"+16" ) HYBRID RENAULT KADJAR HYUNDAI ACCENT ELENTRA İ30 KONA 2017- TUCSON 2015- KİA CEED 2018- RİO SORENTO 2014- 650mm +400mm		12401671	650MM+400MM	26"+16"		
95-9015	UNIVERSAL HYUNDAI TOYOTA	ARACA ÖZEL	HYBRID SİLGİ SÜPÜRGESİ TAKIMI ( 26"+14" ) HYUNDAI ELENTRA İX35 CORALLA    650mm + 340mm		12401672	650MM+340MM	26"+14"		
95-9016	UNIVERSAL HONDA	ARACA ÖZEL	HYBRID SİLGİ SÜPÜRGESİ TAKIMI ( 26"+18" ) HONDA CIVIC IX FK 2012---  CIVIC FC 2017---  650mm + 450mm		12401673  3397118912	650MM+450MM	26"+18"		
95-9017	UNIVERSAL OPEL HYUNDAI KIA	ARACA ÖZEL	HYBRID SİLGİ SÜPÜRGESİ TAKIMI ( 24"+20" ) OPEL INSIGNIA B 2017-- HYUNDAİ SONATA  2005-- STAREX 2007-- CERATO 2004-2009 SORENTO 2010-- 600mm + 500mm		12401674	600MM+500MM	24"+20"		
12602220	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD FOCUS II HB 2004-2011 FORD C-MAX 2007-- 350 mm		4M51-A17406-AA 4N51-T04178-AC	350MM			
12602221	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD FIESTA VII 2008--  305 mm		8A61-17406-AA	305MM			
12602222	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD S-MAX 2006-2014  335 mm			335MM			
12602223	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  FORD FOCUS III 2011-2017   305 mm			305MM			
12602224	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD KUGA 2008-2012 332 mm			332MM			
12602225	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD KUGA SUV 2013-- 290 mm			290MM			
12602226	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGE FORD TRANSIT COURIER 2015-- 370 mm			370MM			
12602227	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD FOCUS SW MK2 2004-2010 13'' 315 mm			315MM			
12602228	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD FOCUS SW MK3 2011-2017 315 mm			315MM			
12602290	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD MONDEO IV SW 2007--305 mm			305MM			
12602400	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD FIESTA VI 2001-2008 11'' 290 mm			290MM			
12602511	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ ***SOL FORD TRANSİT CUSTOM 2016--> 350 mm			350MM			
12602512	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ ***SAĞ FORD TRANSİT CUSTOM 2013--> 350 mm			350MM			
12602513	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD TRANSİT V347 2006-2013 400 mm			400MM			
12602514	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD TOURNEO CUSTOM 2012-- TRANSİT CUSTOM 2012-- 365 mm			365MM			
12602515	FORD	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FORD FIESTA VIII 2017-- 290 mm			290MM			
12603229	HYUNDAI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HYUNDAI I30- KIA CEED 2007-- 305 mm			305MM			
12603230	HYUNDAI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HYUNDAI IX35 2009-2015 305 mm		12603230 988121H000 988501H000	305MM			
12603231	HYUNDAI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  HYUNDAI I20 2007-- 305 mm			305MM			
12603232	HYUNDAI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HYUNDAI I30 2012-->   335mm			335MM			
12603233	HYUNDAI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HYUNDAI TUCSON 04-10 310 mm			310MM			
12603516	HYUNDAI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HYUNDAI IX 35 2016-- 310 mm			310MM			
12603525	HYUNDAI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HYUNDAI İ10 2013-- 290 mm			290MM			
12603526	HYUNDAI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HYUNDAI İ10 2008-- 310 mm		12603526	310MM			
12603608	HYUNDAI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HYUNDAI I30 2017-->   305mm			305MM			
12604327	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGE RENAULT CLIO III 2007-- 350 mm			350MM			
12604328	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT LAGUNA II 2001-2007 500 mm			500MM			
12604329	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT MEGANE II HB 2002-2008    230 mm						
12604330	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT CLIO II 1998--> 305 mm						
12604331	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  RENAULT KANGOO ( 98-07 ) TRAFİC II 2011-->   400 mm						
12604332	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT CLIO HB KANGOO YM 2008-->  350 mm		7701068738				
12604333	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT CLIO III 2005-2012 365 mm		7700433319  7701059392 KIT				
12604334	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT CLIO IV 2012-- 250 mm		287816193R 287909786R 7701040187				
12604335	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT KADJAR SUV 2015-- 240 mm		287811574R				
12604457	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT CLIO II 1999--> PEUGEOT 2008 II 2019--> OPEL CORSA F 2019-->    12"  305mm		7701040187 7701045207 7701410155				
12604458	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT KOLEOS HY 2008-2016    16" 400mm		287804649R				
12604459	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT TWINGO II CN,GN 2007--> 12" 305mm						
12604460	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT CAPTUR J5 2008-2016 12" 305mm		7701040187 287909363R 287815304R				
12604461	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT ESCAPE V 2015-->  295mm						
12604530	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU - SÜPÜRGESİ RENAULT MEGANE III HB- COUPE 2009-- 350 mm		287800005R				
12604531	RENAULT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ RENAULT MEGANE SCENIC III 2008-2016    305 mm						
12605255	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT UNO 325 mm						
12605256	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT TEMPRA SW 330 mm						
12605257	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT PALIO PUNTO 360 mm						
12605258	FIAT OPEL RENAULT NISSAN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT PUNTO - OPEL CORSA - RENAULT CLIO - NISSAN QASHQAI 305 mm		1273090  55703093 55703095 93189196				
12605259	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT GRANDE PUNTO EVO 305mm		55701469				
12605260	FIAT PEUGEOT CITROEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT FIORINO / PEUGEOT BIPPER & TEPE / CITROEN NEMO  2008--->   *** TEK KAPI 360 mm			360MM			
12605261	FIAT PEUGEOT CITROEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT FIORINO / PEUGEOT BIPPER & TEPE / CITROEN NEMO  2008--->  *****ÇİFT KAPI 360 mm			360MM			
12605262	ALFA ROMEO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ ALFA ROMEO GIULIETTA 2010-->  360 mm			360MM			
12605263	ALFA ROMEO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  ALFA ROMEO MITO 2008--   310mm		50508588	310MM			
12605427	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT 500 07-- 290 mm			290MM			
12605428	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT BRAVO 198 2007-2014 11" 285mm			285MM			
12605429	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT DOBLO 2000-2010 14"360mm			360MM			
12605430	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT FREEMONT JC 2011-2015 12" 305mm						
12605431	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT 500L 199 2012--> 12" 305mm						
12605432	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT 500×334 2014--> 11" 285mm						
12605433	FIAT ALFA ROMEO	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT IDEA 2004-2012  ALFA ROMEO 147 937 2000-2010 14" 360mm						
12605505	FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ FIAT PALIO WEEKEND 97-08 325 mm						
12606264	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW TRANSPORTER T5 2003-->  VW CADDY 2003-->  410 mm						
12606265	VOLKSWAGEN SEAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW GOLF VI 2008-- VW GOLF VII 2013--  SEAT LEON 2005-- 280 mm		7E0955425T				
12606266	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW POLO V 2005-- GOLF V 2003---  330mm		6Q6955425A 6Q6955435D 6Q6955707C				
12606267	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW SCIROCCO 2008--   250mm		1K8955427A  1K0955435 1K89				
12606268	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW GOLF VI 2009---  340mm		1K9955427 1K9955707A 6Q6955435D				
12606269	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  VW POLO V HATCHBACK 2009-- 285mm		3397014244  5NB998002				
12606434	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW TIGUAN 2007-2015   330mm  ***FISKİYELİ						
12606435	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW TOUAREG 2007-2010    355mm						
12606436	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW CRAFTER  2006-2016   ***SAĞ    419mm						
12606437	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW CRAFTER  2006-2016  ***SOL 16" 419mm						
12606438	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW TRANSPORTER T5 2003--  VW CADDY 2003--  410 mm		12604264				
12606439	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW TOUAREG 7P5,7P6 2010-2017 14" 355mm						
12606441	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  VW TRANSPORTER  T6 SF.SG 2016> 16" 410mm  ***FISKİYELİ						
12606442	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW TIGUAN II 2016--> & CADDY YM AD1,BT1 2016--> 15" 380mm						
12606499	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW GOLF IV HB 1J1 1997-2005 14" 355mm ***METAL						
12606508	VOLKSWAGEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ VW TIGUAN II ( BT1,BW2,AD1 ) 2016--> 385 mm						
12607275	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL CORSA C 2000-2009 & COMBO 2003-2008   410 mm		1273391				
12607276	OPEL CHEVROLET	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL ASTRA H HB 2004--> &  CHEVROLET CRUZE HB 305 mm						
12607277	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL CORSA D 2006-->  305 mm						
12607278	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  OPEL ASTRA H GTC 3D 05-09 230 mm						
12607279	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  OPEL ASTRA G HB 1997-2009    405 mm						
12607280	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL ASTRA J HB 2009-->   305 mm						
12607281	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL MOKKA MK1 2014-->  240 mm						
12607282	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL CORSA E 2014-->   305 mm						
12607283	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL ASTRA K HB 2015-->  260 mm						
12607542	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL MERIVA A 2003-2010   410 mm		12607542 1273391 - 6272250 - 9114679				
12607544	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL ZAFIRA A   1999-2005   410 mm		12607544				
12607545	OPEL	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ OPEL ZAFIRA B 2005-2015   350 mm		12607545				
12608336	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES-BENZ A-Seri ( W176 ) 2012-->  230 mm						
12608464	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES B-SERISI W245 2005-2011 280 mm						
12608465	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES ML SERISI W166 2011-2015 305 mm						
12608466	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES GLK SERISI X204 2008-2015 305 mm						
12608467	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES-BENZ A-CLASS W169 2004-2012 12" 305mm ***FISKİYELİ						
12608468	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES B SERISI W246,W242 2011-2015    290 mm						
12608469	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES-BENZ VIANO 2015--> 16" 410mm ****SU FISKİYE HORTUMLU						
12608611	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES VITO 2014-->  400mm		12608611				
12608612	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES A SERİ W177 2018-->  320mm		12608612				
12608613	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES B SERİ 2018-->  350mm		12608613				
12608614	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES GLC 2018-->  300mm		12608614				
12609270	BMW	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ BMW X5 E70 2006-2013 390 mm		61627161028				
12609271	BMW	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ BMW 1 SERIES ( E87,E81,120I ) 2004-2011 292 mm						
12609272	BMW	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  BMW X3 ( F25 ) 2010-->  330 mm						
12609273	BMW	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ BMW 1 SERIES ( F20,F21 ) 2011-->  315 mm						
12609446	MERCEDES	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MERCEDES CLA SERISI C117 12-15,SW117 15--,GLA X156 13--350 mm						
12609447	BMW	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ BMW X1 E84 2009-2015 11" 292mm ****FISKİYELİ						
12609448	BMW	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ BMW X5 F15,F85 2013--> 12" 315mm						
12609449	BMW	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ BMW X5 E53 2000-2006 450 mm						
12609450	BMW	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ BMW X1 F48 2015--> 360mm						
12609475	MINI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  ***SOL MINI CLUBMAN R55 2008-2014 292 mm						
12609476	MINI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  ***SAĞ MINI CLUBMAN R55 2008-2014    292 mm						
12609477	MINI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MINI COOPER R50/R53 2001-2004   ****FISKİYELİ  292mm						
12609478	MINI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MINI COOPER R50/R53 2005--> 11" 292mm						
12609480	MINI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MINI COUNTRYMAN R60 2010-2016  ***FISKİYELİ   240mm						
12609482	MINI	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ MINI CLUBMAN F54 2015-->  *** SAĞ / SOL   235 mm						
12610200	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA YARIS 2008-2013 ECHO II 2005--  305 mm		8524152010				
12610201	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA LAND CRUISER ( J20 ) 2007--   305 mm						
12610202	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA YARIS - UNIVERSAL ( P2 ) 1999-2005   305 mm						
12610203	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA RAV4 II 2000-- RAV4 III  2006--- HIGHLANDER / KLUGER 2007-- 305 mm		8524142070				
12610204	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA RAV4 2013-2017 240 mm						
12610205	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA AURIS 2012-->   195 mm						
12610367	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA HIGHLANDER / KLUGER ( XU40 ) 2008-->  305 mm						
12610368	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA COROLLA VERSO R1 2004-2009   11" 275mm						
12610369	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA COROLLA VERSO 2009> 12" 305mm						
12610370	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA COROLLA HB E12 2000-2008 14" 350mm						
12610371	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA HIGHLANDER / KLUGER ( XU20 ) 2000-->  305 mm						
12610519	TOYOTA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ TOYOTA  C-HR SUV  ( X1-X5 ) 2016-->  350 mm						
12611238	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT 206 1998-2009 350 mm						
12611239	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT 307 2005-2009 350 mm						
12611242	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT PARTNER   1996-2008    ***FISKİYELİ   400 mm						
12611243	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  PEUGEOT 306 1999-2003 405 mm						
12611244	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT 3008 2009-->   315 mm						
12611245	PEUGEOT FIAT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  PEUGEOT EXPERT FIAT SCUDO ***ÇİFT KAPI 2007-- 350 mm						
12611407	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT 106 S2 1999-2005 14" 350mm						
12611408	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT 308 T7 2007-2013 12" 305mm						
12611409	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT 5008 I T8 2009--> 11" 290mm						
12611411	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT 208 2012--> 14" 350mm						
12611412	PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT 2008 2013> 12" 305mm						
12611503	PEUGEOT CITROEN	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ PEUGEOT BERLINGO 2018-- > RIFTER 2018--> 14" 350mm						
12612206	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HONDA FIT / JAZZ 2001-2008 350 mm						
12612207	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HONDA CR-V SUV 2006-2011 350 mm						
12612208	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  HONDA YENİ CR-V 2006-- 350 mm						
12612209	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ  HONDA FIT/JAZZ 2009-2014 350 mm						
12612210	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HONDA CR-V SUV 2012-2015 305 mm						
12612211	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HONDA CR-V SUV 2003-2005   305 mm						
12612372	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HONDA CIVIC VII ( EM,EP,ES,EV ) 2001-- 305 mm						
12612373	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HONDA HR-V RU 2015--> 10" 250mm						
12612374	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HONDA FIT/JAZZ GK 2015--> 14" 350mm						
12612510	HONDA	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜPÜRGESİ HONDA CR-V ( RT-RW ) 2018-->  315 mm						
12613241	CITREON	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜRÜRGESİ CİTROEN  C4/C5 2002-2009 305 mm		6429.X8				
12613246	CITREON PEUGEOT	ARKA KOL VE SUPURGE	ARKA SİLECEK KOLU + SÜRÜRGESİ  CITROEN C3 / PEUGEOT 206 2002-2009 350 mm						
