SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
97-480	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 480 MM 19" İNÇ HYBRID )		97-480-1 97-480 12401619	480MM	19"		
97-480-1	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 480 MM 19" İNÇ HYBRID )		97-480-1 97-480 12401619	480MM	19"		
97-500-1	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 500 MM 20" İNÇ HYBRID )		97-510 12401620	500MM	20"		
97-510	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 510 MM 20" İNÇ HYBRID )		97-500-1	510MM	20"		
97-530	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 530 MM 21" İNÇ HYBRID )		97-530-1 12401621 97-530	530MM	21"		
97-530-1	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 530 MM 21" İNÇ HYBRID )		97-530-1 12401621 97-530	530MM	21"		
97-550-1	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 550 MM 22"İNÇ HYBRID )		97-550-1 97-550 12401622	550MM	22"		
97-600	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 600 MM 24" İNÇ HYBRID )		97-600-1 97-600 12401624	600MM	24"		
97-600-1	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 600 MM 24" İNÇ HYBRID )		97-600-1 97-600 12401624	600MM	24"		
97-650-1	UNIVERSAL	HYBRID	SİLECEK SÜPÜRGESİ ( 650 MM 26" İNÇ HYBRID )		97-650-1 12401626 97-650	650MM	26"		
97-700	UNIVERSAL	HYBRID	UNIVERSAL SİLECEK SÜPÜRGESİ ( 700 MM 28" İNÇ HYBRID )			700MM	28"		
98-350-1	UNIVERSAL	APARATLI HYBRID	UNIVERSAL HYBRID APARATLI SİLECEK SÜPÜRGESİ ( 350 MM 14" İNÇ )		12401714	350MM	14"		
98-380-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 380 MM 15" İNÇ HYBRID APARATLI )		12401715	380MM	15"		
98-400-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 400 MM 16" İNÇ HYBRID APARATLI )		12401716	400MM	16"		
98-410	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 410 MM 16" İNÇ HYBRID APARATLI )			410MM	16"		
98-430-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 430 MM 17" İNÇ HYBRID APARATLI )		12401717	430MM	17"		
98-450	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 450 MM 18" İNÇ HYBRID APARATLI )			450MM	18"		
98-450-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 450 MM 18" İNÇ HYBRID APARATLI )		12401718	450MM	18"		
98-480	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 480 MM 19" İNÇ HYBRID APARATLI )			480MM	19"		
98-480-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 480 MM 19" İNÇ HYBRID APARATLI )		12401719	480MM	19"		
98-500-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 500 MM 20" İNÇ HYBRID APARATLI )		12401720	500MM	20"		
98-510	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 510 MM 20" İNÇ HYBRID APARATLI )			510MM	20"		
98-530-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 530 MM 21" İNÇ HYBRID APARATLI )		12401721	530MM	21"		
98-550-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 550 MM 22" İNÇ HYBRID APARATLI )		12401722	550MM	22"		
98-600	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 600 MM 24"" İNÇ HYBRID APARATLI )			600MM	24"		
98-600-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 600 MM 24"" İNÇ HYBRID APARATLI )		12401724	600MM	24"		
98-650	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 650 MM 26" İNÇ HYBRID APARATLI )			650MM	26"		
98-650-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 650 MM 26" İNÇ HYBRID APARATLI )		12401726	650MM	26"		
98-700	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 700 MM 28" İNÇ HYBRID APARATLI )			700MM	28"		
98-700-1	UNIVERSAL	APARATLI HYBRID	SİLECEK SÜPÜRGESİ ( 700 MM 28"" İNÇ HYBRID APARATLI )		12401728	700MM	28"		
99-350	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( 350 MM 14" İNÇ )			350MM	14"		
99-380	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( 380 MM 15" İNÇ )			380MM	15"		
99-400	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( ( 400 MM 16" İNÇ )			400MM	16"		
99-430	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( ( 430 MM 17" İNÇ )			430MM	17"		
99-450	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( ( 450 MM 18" İNÇ )			450MM	18"		
99-480	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( 480 MM 19" İNÇ )			480MM	19"		
99-500	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( 500 MM 20" İNÇ )			500MM	20"		
99-530	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( 530 MM 21" İNÇ )			530MM	21"		
99-550	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( ( 550 MM 22" İNÇ )			550MM	22"		
99-600	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( ( 600 MM 24" İNÇ )			600MM	24"		
99-650	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( ( 650 MM 26" İNÇ )			650MM	26"		
99-700	UNIVERSAL	YENİ NESİL	SİLECEK SÜPÜRGESİ APARATLI YENİ NESİL ( ( 700 MM 28" İNÇ )			700MM	28"		
